Song,Description,Year
Rolling in the Deep,"Happy, Chilled, Uplifting",2011
Give Me Everything,"Uplifting, Energetic, Aggressive",2011
Grenade,"Happy, Chilled, Uplifting",2011
F**k You,"Uplifting, Happy, Energetic",2011
Pumped Up Kicks,"Energetic, Happy, Uplifting",2011
Just the Way You Are,"Sad, Dark, Chilled",2011
Raise Your Glass,"Energetic, Uplifting, Happy",2011
F**kin' Perfect,"Chilled, Sad, Happy",2011
Look At Me Now,"Dark, Sad, Chilled",2011
Someone Like You,"Happy, Chilled, Calm",2011
